Date,Open,High,Low,Close,Adj Close,Volume
2018-04-26,31.760000,31.760000,31.760000,31.760000,31.760000,0
2018-04-27,31.910000,31.910000,31.910000,31.910000,31.910000,0
2018-04-30,32.040001,32.040001,32.040001,32.040001,32.040001,0
2018-05-01,31.930000,31.930000,31.930000,31.930000,31.930000,0
2018-05-02,31.799999,31.799999,31.799999,31.799999,31.799999,0
2018-05-03,31.610001,31.610001,31.610001,31.610001,31.610001,0
2018-05-04,31.600000,31.600000,31.600000,31.600000,31.600000,0
2018-05-07,31.480000,31.480000,31.480000,31.480000,31.480000,0
2018-05-08,31.389999,31.389999,31.389999,31.389999,31.389999,0
2018-05-09,31.590000,31.590000,31.590000,31.590000,31.590000,0
2018-05-10,31.990000,31.990000,31.990000,31.990000,31.990000,0
2018-05-11,32.139999,32.139999,32.139999,32.139999,32.139999,0
2018-05-14,32.299999,32.299999,32.299999,32.299999,32.299999,0
2018-05-15,31.910000,31.910000,31.910000,31.910000,31.910000,0
2018-05-16,32.049999,32.049999,32.049999,32.049999,32.049999,0
2018-05-17,31.719999,31.719999,31.719999,31.719999,31.719999,0
2018-05-18,31.520000,31.520000,31.520000,31.520000,31.520000,0
2018-05-21,31.530001,31.530001,31.530001,31.530001,31.530001,0
2018-05-22,31.600000,31.600000,31.600000,31.600000,31.600000,0
2018-05-23,31.350000,31.350000,31.350000,31.350000,31.350000,0
2018-05-24,31.080000,31.080000,31.080000,31.080000,31.080000,0
2018-05-25,30.959999,30.959999,30.959999,30.959999,30.959999,0
